City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Pestovo,RU,2021-07-22 21:05:52,58.5938,35.8024,54.68,95,100,6.31
202,Thompson,CA,2021-07-22 21:05:52,55.7435,-97.8558,82.35,44,83,12.24
203,Toora-Khem,RU,2021-07-22 21:05:53,52.4675,96.11,56.17,93,100,1.39
204,Cap-Aux-Meules,CA,2021-07-22 21:05:53,47.3821,-61.8597,59.05,100,90,14.97
205,Serrana,BR,2021-07-22 21:05:54,-21.2114,-47.5956,76.95,29,0,4.36
206,The Valley,AI,2021-07-22 21:04:59,18.217,-63.0578,85.86,79,20,16.11
207,Shimoda,JP,2021-07-22 21:05:37,34.6667,138.95,81.1,80,29,4.38
208,Nagato,JP,2021-07-22 21:05:54,34.3833,131.2,70.2,77,100,3.18
209,Beloha,MG,2021-07-22 21:05:55,-25.1667,45.05,67.62,77,6,4.5
210,Kompaniyivka,UA,2021-07-22 21:05:55,48.2511,32.208,61.68,67,0,11.79
211,Havre-Saint-Pierre,CA,2021-07-22 21:05:56,50.2334,-63.5986,61.16,77,90,8.05
212,La Ronge,CA,2021-07-22 21:03:15,55.1001,-105.2842,75.42,83,75,5.75
213,Rio Claro,BR,2021-07-22 21:05:52,-22.4114,-47.5614,64.8,25,0,2.98
214,Kudat,MY,2021-07-22 21:05:56,6.8837,116.8477,80.64,79,100,10.07
215,Chiredzi,ZW,2021-07-22 21:05:57,-21.05,31.6667,57.51,23,0,3.2
216,Yichun,CN,2021-07-22 21:05:57,47.7,128.9,70.2,86,93,2.46
217,Minuri,PH,2021-07-22 21:05:58,16.535,121.8574,76.03,87,100,1.68
218,Mugur-Aksy,RU,2021-07-22 21:05:58,50.35,90.5,59.68,69,100,3.36
219,Kamaishi,JP,2021-07-22 21:05:58,39.2667,141.8833,73.72,95,87,4.16
220,Atasu,KZ,2021-07-22 21:04:47,48.6814,71.6433,68.95,51,10,9.84
221,Ahipara,NZ,2021-07-22 21:05:59,-35.1667,173.1667,54.14,88,60,4.18
222,Selma,US,2021-07-22 21:05:59,36.5708,-119.6121,105.04,23,1,3.44
223,General Roca,AR,2021-07-22 21:01:05,-39.0333,-67.5833,61.92,28,98,2.59
224,Prince Rupert,CA,2021-07-22 21:05:24,54.3161,-130.3201,55.49,88,90,6.91
225,Marzuq,YE,2021-07-22 21:06:00,14.4,46.4667,78.37,58,58,6.11
226,Camacha,PT,2021-07-22 21:01:26,33.0833,-16.3333,70.56,83,40,27.63
227,Blois,FR,2021-07-22 21:06:00,47.5833,1.3333,70.43,72,0,9.1
228,Livingston,GB,2021-07-22 21:06:01,55.9029,-3.5226,67.37,96,75,9.22
229,Thunder Bay,CA,2021-07-22 21:01:57,48.4001,-89.3168,68.56,71,17,1.01
230,Dudinka,RU,2021-07-22 21:06:01,69.4058,86.1778,48.78,84,35,8.01
231,Latung,PH,2021-07-22 21:06:02,5.5,120.8833,83.08,79,86,14.79
232,Saint George,US,2021-07-22 21:06:02,37.1041,-113.5841,97.32,42,1,1.99
233,Lagoa,PT,2021-07-22 21:06:03,39.05,-27.9833,67.42,73,0,12.26
234,Vardo,NO,2021-07-22 21:06:03,70.3705,31.1107,43.0,84,100,29.57
235,Pisco,PE,2021-07-22 21:06:04,-13.7,-76.2167,64.45,77,90,9.22
236,Dezhou,CN,2021-07-22 21:06:05,37.4486,116.2925,70.32,88,97,5.06
237,Kambove,CD,2021-07-22 21:06:05,-10.8764,26.5969,60.64,42,0,4.81
238,Cochrane,CA,2021-07-22 21:05:55,51.1834,-114.4687,80.42,18,8,25.14
239,Olivenza,ES,2021-07-22 21:06:06,38.6832,-7.103,88.21,27,3,11.14
240,Izhma,RU,2021-07-22 21:06:06,65.0083,53.9113,47.46,65,12,5.99
241,Antofagasta,CL,2021-07-22 21:06:07,-23.65,-70.4,56.48,72,37,5.79
242,Yulara,AU,2021-07-22 21:05:13,-25.2406,130.9889,44.44,70,2,4.61
243,Gandai,IN,2021-07-22 21:06:07,21.6667,81.1,80.49,84,100,3.2
244,Kristinehamn,SE,2021-07-22 21:06:08,59.3098,14.1081,67.98,73,6,7.54
245,Westport,US,2021-07-22 21:06:08,41.1415,-73.3579,82.15,51,90,3.0
246,Dosso,NE,2021-07-22 21:06:09,13.049,3.1937,87.19,49,99,12.35
247,Tabuk,PH,2021-07-22 21:01:13,17.4189,121.4443,74.39,91,100,4.36
248,Durban,ZA,2021-07-22 21:04:53,-29.8579,31.0292,58.77,31,0,22.86
249,Necochea,AR,2021-07-22 21:06:10,-38.5473,-58.7368,60.04,59,100,8.84
250,Hithadhoo,MV,2021-07-22 21:03:04,-0.6,73.0833,79.23,83,100,11.45
251,Powassan,CA,2021-07-22 21:06:10,46.0334,-79.3496,70.65,61,91,3.76
252,Rosdorf,DE,2021-07-22 21:06:11,51.5,9.9,65.59,76,40,3.2
253,Magnolia,US,2021-07-22 21:06:11,33.2671,-93.2393,91.08,45,38,5.59
254,Vanavara,RU,2021-07-22 21:06:12,60.34,102.2797,56.01,94,83,3.15
255,Birao,CF,2021-07-22 21:06:12,10.2849,22.7882,70.14,91,71,3.22
256,Adrar,MR,2021-07-22 21:02:18,20.5022,-10.0711,95.58,11,15,10.02
257,Saint-Denis,FR,2021-07-22 21:06:12,48.9167,2.3333,76.78,56,0,6.91
258,Puerto Escondido,MX,2021-07-22 21:06:13,15.85,-97.0667,90.43,62,40,4.61
259,Neuquen,AR,2021-07-22 21:03:52,-38.9516,-68.0591,62.01,28,98,6.35
260,Canberra,AU,2021-07-22 21:06:13,-35.2835,149.1281,39.74,90,90,3.44
261,Fortuna,US,2021-07-22 21:06:14,40.5982,-124.1573,91.47,70,1,4.0
262,Samarai,PG,2021-07-22 21:06:14,-10.6167,150.6667,77.58,84,100,13.33
263,Port Alfred,ZA,2021-07-22 21:06:14,-33.5906,26.891,52.2,68,96,24.09
264,San Juan Del Sur,NI,2021-07-22 21:06:15,11.2529,-85.8705,81.34,77,100,24.85
265,Cabo San Lucas,MX,2021-07-22 21:06:15,22.8909,-109.9124,100.51,56,1,5.99
266,Tilichiki,RU,2021-07-22 21:04:35,60.4667,166.1,59.7,63,100,1.05
267,Luganville,VU,2021-07-22 21:01:17,-15.5333,167.1667,79.81,83,42,6.38
268,Rezekne,LV,2021-07-22 21:06:16,56.5,27.3167,57.7,82,28,7.9
269,Shelburne,CA,2021-07-22 21:06:16,44.0787,-80.2041,74.12,53,98,6.46
270,Liverpool,GB,2021-07-22 21:06:09,53.4106,-2.9779,76.64,74,96,11.5
271,Pokaran,IN,2021-07-22 21:06:17,26.9167,71.9167,93.0,48,88,11.68
272,Portland,US,2021-07-22 21:05:19,45.5234,-122.6762,81.1,43,20,1.99
273,Muskogee,US,2021-07-22 21:06:17,35.5834,-95.3336,92.52,59,20,0.0
274,Iztapa,GT,2021-07-22 21:06:18,13.9333,-90.7075,96.64,66,40,9.22
275,Klaksvik,FO,2021-07-22 21:06:18,62.2266,-6.589,49.12,92,97,7.74
276,Leninskoye,KZ,2021-07-22 21:06:18,41.7589,69.3864,73.33,25,0,4.7
277,Mantua,IT,2021-07-22 21:06:19,45.1667,10.7833,77.09,71,5,8.99
278,Bambous Virieux,MU,2021-07-22 21:06:19,-20.3428,57.7575,70.21,70,36,16.08
279,Ucluelet,CA,2021-07-22 21:06:19,48.9329,-125.5528,76.08,74,33,3.0
280,Tuktoyaktuk,CA,2021-07-22 21:03:35,69.4541,-133.0374,46.65,84,41,19.37
281,Mnogovershinnyy,RU,2021-07-22 21:06:20,53.9353,139.9242,69.62,68,67,2.08
282,Lodja,CD,2021-07-22 21:06:20,-3.4833,23.4333,79.5,29,60,2.13
283,Kamenka,RU,2021-07-22 21:06:21,51.3223,42.7678,60.76,79,81,7.78
284,Warrnambool,AU,2021-07-22 21:06:21,-38.3833,142.4833,44.82,92,100,9.73
285,Matagami,CA,2021-07-22 21:06:22,49.7502,-77.6328,65.17,71,51,4.07
286,Ngunguru,NZ,2021-07-22 21:06:22,-35.6167,174.5,49.15,87,19,6.04
287,Kargopol,RU,2021-07-22 21:06:22,61.5071,38.9456,53.64,98,100,5.88
288,Cherskiy,RU,2021-07-22 21:06:23,68.75,161.3,57.65,73,99,1.23
289,Buala,SB,2021-07-22 21:06:23,-8.145,159.5921,81.09,82,41,6.64
290,Taoudenni,ML,2021-07-22 21:06:23,22.6783,-3.9836,105.03,13,6,12.86
291,Rodnykove,UA,2021-07-22 21:06:24,45.043,33.9541,74.1,74,98,8.75
292,Ust-Nera,RU,2021-07-22 21:06:24,64.5667,143.2,55.62,92,100,3.96
293,Saint-Augustin,CA,2021-07-22 21:04:01,51.226,-58.6502,51.12,84,100,13.49
