City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Berwick,US,89.26,broken clouds,41.0545,-76.2333,The White Birch Inn B & B
486,Eureka,US,82.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
487,Washington,US,83.98,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
488,Bhuban,IN,86.9,moderate rain,20.8833,85.8333,Sree Ganesh Sweetstall
497,Portland,US,80.46,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
503,Nanchang,CN,81.28,few clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
505,Chaplynka,UA,81.36,broken clouds,46.3651,33.5403,Білий Дім
506,Santa Isabel Do Rio Negro,BR,86.41,overcast clouds,-0.4139,-65.0192,Hotel GSA
508,Alpinopolis,BR,79.29,clear sky,-20.8636,-46.3881,Hotel Ventania
509,Camacha,PT,77.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
511,Thunder Bay,CA,77.56,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
512,Saint-Georges,GD,82.62,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
516,Sulangan,PH,83.97,overcast clouds,11.1373,123.7228,Maia's Beach Resort
517,Jaisalmer,IN,89.82,light rain,26.9147,70.9181,Hotel Fifu
518,Lenine,UA,81.55,broken clouds,45.2986,35.7771,Vostok
520,Braganca,BR,86.07,scattered clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
521,Palu,ID,75.07,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
522,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
523,Minnedosa,CA,83.01,scattered clouds,50.2453,-99.8436,Kruk Castle Bed & Breakfast
524,Ilinskiy,RU,75.88,clear sky,55.619,38.1182,Around the world
525,Quisqueya,DO,89.15,broken clouds,18.5554,-69.4081,ElFuetazo del 13
527,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
529,Kutum,SD,77.9,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
530,Ornskoldsvik,SE,75.02,clear sky,63.2909,18.7153,ファーストホテル スタット
534,Shahr-E Babak,IR,82.33,clear sky,30.1165,55.1186,Duna Ecolodge
539,Lebedyn,UA,75.22,broken clouds,50.5852,34.4849,"The regional Children's multi-resort ""Lebedin"""
540,Constantine,DZ,87.48,overcast clouds,36.365,6.6147,Grand Hotel Cirta
549,Joshimath,IN,75.18,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
551,Imbituba,BR,82.29,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
555,Saint Augustine,US,88.45,mist,29.8947,-81.3145,St. George Inn
559,Oxbow,CA,88.34,clear sky,49.2333,-102.1676,Bow Manor Motor Hotel
560,Porto Novo,BJ,77.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
563,Bagrami,AF,87.78,clear sky,34.4938,69.2743,SH++ZA
566,Westerland,DE,75.22,scattered clouds,54.9079,8.3033,Dorint Strandhotel & Spa Westerland / Sylt
570,Pekan,MY,78.71,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
571,Sola,VU,79.92,broken clouds,-13.8833,167.55,Leumerus Bungalows
574,Tshikapa,CD,77.09,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
576,Yinchuan,CN,76.28,light rain,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
579,Roma,US,84.85,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
587,Korocha,RU,77.72,clear sky,50.8107,37.1953,Dubravushka
588,Tabuk,PH,76.39,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
589,Qui Nhon,VN,85.08,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
590,Dharchula,IN,75.81,overcast clouds,29.85,80.5333,Mahara Hotel
593,Goderich,CA,84.04,clear sky,43.7501,-81.7165,Harmony Inn
596,Dakar,SN,79.57,broken clouds,14.6937,-17.4441,Redface Studios Meublés
598,Teixeira,BR,80.89,scattered clouds,-7.2228,-37.2542,Hotel da Serra
